num,ads,0,1,2
0,,,,
1,-0.936,0.060947166,0.754695884,-1.593603419
2,,,,
3,-0.605,0.579852546,1.072737373,-1.543790063
4,-1.016,1.274871467,1.053244397,-1.505219655
5,-0.997,1.163183394,0.630045855,-1.539164577
6,-0.924,2.067984906,1.226565975,-1.538885068
7,-1.043,1.607734935,0.447879494,-1.592913787
8,-0.994,2.704129665,1.22679588,-1.588962421
9,-0.918,0.963377012,0.62451605,-0.337778564
10,-1.28,1.825991091,1.222905207,-0.337782969
11,-0.753,1.121178952,0.658364905,-0.316838708
12,-0.898,1.045565523,0.667322502,-1.537183622
13,-1.09,1.540340356,1.005618658,-1.536568242
14,-1.185,1.186560751,0.463503976,-1.588252581
15,-1.303,1.751531953,0.887736548,-1.583026858
16,-0.681,2.140316483,2.395818284,-1.594704079
17,-0.777,2.143617608,2.81020225,-1.594693121
18,-1.115,1.001183727,1.486969685,-1.538810867
19,-1.136,1.232721892,1.062055996,-1.538231131
20,-1.65,-0.33477886,0.145206053,0.489418453
21,-2.063,-0.37954628,0.059390927,0.471458882
22,-1.738,-0.700706952,-0.525841734,0.488520348
23,-1.707,-0.193295001,-0.037917688,0.487725101
24,-1.715,-0.722373087,-0.894500048,0.486824548
25,-1.856,-0.184900367,-0.357332675,0.486027864
26,-1.205,-0.446825291,-0.729491699,0.46800491
27,-1.88,-1.098591684,-1.449518057,0.468811086
28,-1.527,-1.278268412,-1.471442243,0.48762085
29,-1.838,-0.894814804,-1.4155855,0.485124848
30,-1.787,-0.293596561,-0.796648318,0.484326719
31,-1.728,-0.378771512,-0.061122455,0.532463428
32,-1.737,-0.305465606,-0.353953,0.530915031
33,-1.555,-0.393399139,-0.807566681,0.529363782
34,-1.693,-0.276231198,-0.371546735,0.538814559
35,-1.927,-0.357893702,-0.062004788,0.548046745
36,-1.724,-0.245593211,0.124804906,0.532961381
37,-1.717,-0.512391664,-0.667013855,0.487368631
38,-1.545,-0.621129878,-1.139631598,0.485670104
39,-1.91,-0.390884452,-0.769255834,0.484780098
40,-1.716,-0.974775298,-1.367643134,0.485577879
41,-1.778,-1.057359972,-1.321436438,0.486030676
42,-1.822,-0.488277555,-0.740968832,0.485233244
43,-1.719,-0.713737281,-1.093424902,0.486122848
44,-1.908,-0.585588117,-0.711699846,0.485686156
45,-1.781,-0.807359688,-1.048315807,0.48657536
46,-2.035,-0.564717965,-0.719449641,0.530194216
47,-1.703,-0.478200145,-0.762984903,0.529779083
48,-1.135,-0.207411163,1.113477232,-0.3152108
49,-1.184,-0.422719421,1.182028774,-0.292901284
50,,,,
51,,,,
52,-1.703,-0.963501614,-0.561871679,1.237259092
53,-1.554,-1.568073422,-1.514642045,1.236883505
54,-1.526,-1.057595458,-0.941510396,1.236233391
55,-1.615,-0.744252753,-0.857602615,1.234555757
56,-1.399,-1.305150075,-1.473936502,1.235206627
57,-1.46,-1.030317402,-0.933831324,1.256735545
58,-1.482,-0.490426435,-0.084713063,1.260545679
59,-1.644,-0.852258506,-0.573603636,1.244373651
60,-1.71,-0.448022536,-0.086250151,1.263973798
61,-2.099,-0.422112697,0.157697291,1.2482673
62,-1.617,-1.939089336,-2.099814234,1.236147303
63,-1.67,-1.348346824,-1.421190022,1.235496786
64,-1.481,-1.392993246,-1.370019114,1.235786871
65,-1.994,-0.913681958,-0.756519779,1.235426442
66,-1.797,-1.080304186,-0.955992569,1.240095134
67,-1.442,-0.676633346,-0.970634253,0.484777494
68,-1.545,-0.130143451,-0.313364985,0.529036012
69,-1.255,0.795917922,0.846832882,-0.31681488
70,-1.166,0.973436886,0.838277996,-0.337777628
71,-1.062,0.417258533,1.052445975,-1.377127921
72,-1.139,0.942007999,0.85742445,-1.563959584
73,,,,
74,,,,
75,-0.981,1.898448827,1.350390364,-1.556408199
76,-0.696,0.86803834,1.064660878,-1.50179817
77,,,,
78,,,,
79,-1.1,0.052596814,0.788219692,-1.590427743
80,,,,
81,-1.029,0.088546271,1.004563552,-0.344991116
82,-0.61,0.113547813,1.026796305,-0.316919074
83,-1.219,0.75699253,1.073888786,-0.329771744
84,,,,
85,-1.289,0.371619736,0.752528241,-0.316696308
86,-1.3,0.024784222,0.131073243,-0.316749909
87,,,,
88,,,,
89,,,,
90,-1.393,-0.309262761,0.786871167,-0.340541445
91,,,,
92,-1.148,0.211557043,-0.24525141,0.53330786
93,-1.336,0.008427693,0.563460256,0.543694049
94,,,,
95,-1.207,0.047500213,0.2200263,0.54725641
